id,Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
121,Kenya,KEN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.34E+12,3.68E+12,3.90E+12,4.41E+12,
122,Kirguistan,KGZ,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.93E+11,2.04E+11,2.30E+11,2.85E+11,
123,Camboya,KHM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,7.92E+13,1.00E+14,1.18E+14,1.37E+14,
124,Kiribati,KIR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
125,Saint Kitts y Nevis,KNA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3647740000,3553848570,3016592410,2771547080,
126,"Corea, República de",KOR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.53E+20,2.70E+20,2.91E+20,3.20E+20,
127,Kuwait,KWT,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,37147850400,38606413600,38129244000,39142868900,
128,América Latina y el Caribe (excluido altos ingresos),LAC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
129,República Democratica Popular Lao,LAO,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
130,Líbano,LBN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.08E+14,,,,
131,Liberia,LBR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,"680309617,9","700940239,5",,,
132,Libia,LBY,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.06E+11,1.05E+11,1.03E+11,1.20E+11,
133,Santa Lucía,LCA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3717260000,3901634656,3576173280,3122368804,
134,América Latina y el Caribe,LCN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
135,Países menos desarrollados: clasificación de las Naciones Unidas,LDC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
136,Países de ingreso bajo,LIC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
137,Liechtenstein,LIE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
138,Sri Lanka,LKA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,7.84E+12,8.73E+12,9.46E+12,,
139,Países de ingreso mediano bajo,LMC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
140,Ingreso mediano y bajo,LMY,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
141,Lesotho,LSO,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,12105974458,13400596765,12195220748,14282899616,
142,avanzada del dividendo demografico,LTE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
143,Lituania,LTU,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
144,Luxemburgo,LUX,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
145,Letonia,LVA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
146,"Región Administrativa Especial de Macao, China",MAC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,5.91E+11,6.51E+11,6.88E+11,6.92E+11,
147,Isla de San Martín (parte francesa),MAF,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
148,Marruecos,MAR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.27E+12,1.32E+12,1.37E+12,1.49E+12,
149,Mónaco,MCO,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
150,República de Moldova,MDA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,77055880000,83194003896,89950706570,1.08E+11,
151,Madagascar,MDG,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.05E+13,1.18E+13,1.26E+13,1.40E+13,
152,Maldivas,MDV,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,32005875289,33088326227,36241440260,41384961351,
153,Oriente Medio y Norte de Ãfrica,MEA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
154,México,MEX,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,8.44E+12,8.82E+12,9.24E+12,1.05E+13,
155,Islas Marshall,MHL,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
156, Ingreso mediano,MIC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
157,Macedonia del Norte,MKD,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.37E+11,3.73E+11,4.04E+11,4.36E+11,
158,Malí,MLI,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.40E+12,2.74E+12,2.99E+12,3.66E+12,
159,Malta,MLT,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
160,Myanmar,MMR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,4.77E+13,5.47E+13,6.32E+13,7.47E+13,
161,Oriente Medio y Norte de Africa(excluido altos ingresos),MNA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
162,Montenegro,MNE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2544913922,2624968699,2581165197,2484414615,
163,Mongolia,MNG,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.59E+13,1.95E+13,2.08E+13,2.42E+13,
164,Mariana,MNP,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
165,Mozambique,MOZ,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.86E+11,4.18E+11,4.68E+11,5.79E+11,
166,Mauritania,MRT,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,67494163306,74858513287,82306489466,,
167,Mauricio,MUS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,5.22E+11,5.55E+11,6.02E+11,7.04E+11,
