id,Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
220,Suriname,SUR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,17600445407,19195848404,20288949038,32879114249,
221,República Eslovaca,SVK,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
222,Eslovenia,SVN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
223,Suecia,SWE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.37E+12,3.49E+12,3.74E+12,4.42E+12,
224,Eswatini,SWZ,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,17343038568,18047643034,18368609840,21205786100,
225,Sint Maarten (Dutch part),SXM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
226,Seychelles,SYC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,15887764122,17114542832,19457810074,25160161222,
227,República Ãrabe Siria,SYR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
228,Islas Turcas y Caicos,TCA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
229,Chad,TCD,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,9.08E+11,9.15E+11,1.12E+12,,
230,Asia oriental y el Pacífico (BIRF y la AIF),TEA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
231,Europa y Asia central (BIRF y la AIF),TEC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
232,Togo,TGO,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.58E+12,1.73E+12,1.80E+12,2.01E+12,
233,Tailandia,THA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.92E+13,2.01E+13,2.08E+13,,
234,Tayikistan,TJK,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,18017686230,18944669488,22154740519,26252903050,
235,Turkmenistan,TKM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
236,América Latina y el Caribe (BIRF y la AIF),TLA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
237,Timor-Leste,TLS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,822896000,"848586582,5","788263689,8",,
238,Oriente Medio y Norte de Africa(BIRF y la AIF),TMN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
239,Tonga,TON,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,"560569916,1","605250119,2","602224402,3","707496412,9",
240,Asia meridional (BIRF y la AIF),TSA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
241,Africaal sur del Sahara (BIRF y la AIF),TSS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
242,Trinidad y Tobago,TTO,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.06E+11,1.07E+11,1.10E+11,1.18E+11,
243,Túnez,TUN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,71067241200,76122916300,84456534600,93155090268,
244,Turquía,TUR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.69E+12,2.00E+12,2.54E+12,3.41E+12,
245,Tuvalu,TUV,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
246,Tanzanía,TZA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.47E+13,2.58E+13,2.83E+13,2.99E+13,
247,Uganda,UGA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.16E+13,2.34E+13,2.71E+13,3.18E+13,
248,Ucrania,UKR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.21E+12,1.28E+12,1.44E+12,1.85E+12,
249,Ingreso mediano alto,UMC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
250,Uruguay,URY,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,8.25E+11,9.23E+11,1.07E+12,1.33E+12,
251,Estados Unidos,USA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.76E+13,1.83E+13,1.99E+13,2.33E+13,
252,Uzbekistan,UZB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,7.08E+13,8.02E+13,9.13E+13,1.08E+14,
253,San Vicente y las Granadinas,VCT,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1648260000,1668682415,1758813340,1643467314,
254,Venezuela,VEN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
255,Islas Vírgenes Britanicas,VGB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
256,Islas Vírgenes (EE.UU.),VIR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
257,Viet Nam,VNM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,7.77E+20,8.76E+20,9.95E+20,1.13E+21,
258,Vanuatu,VUT,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,78660690285,88955523521,95102448978,94570772577,
259,Mundo,WLD,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
260,Samoa,WSM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1092088000,1187743000,1242865000,1309902000,
261,Kosovo,XKX,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2811619011,3037831977,3419716401,3943475423,
262,"Yemen, Rep. del",YEM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
263,Sudafrica,ZAF,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.36E+12,3.55E+12,3.76E+12,4.12E+12,
264,Zambia,ZMB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,54084937883,62997058168,70900180663,1.04E+11,
265,Zimbabwe,ZWE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,7817278646,10009905269,35018179945,2.05E+11,
