id,name,year,value,unit
140,Guatemala,2018,73209,Millones de dólares
141,Guatemala,2019,77020,Millones de dólares
142,Guatemala,2020,77605,Millones de dólares
143,Guatemala,2021,86832,Millones de dólares
144,Guyana,2018,4788,Millones de dólares
145,Guyana,2019,5174,Millones de dólares
146,Guyana,2020,5471,Millones de dólares
147,Guyana,2021,6817,Millones de dólares
148,Haití,2020,15505,Millones de dólares
149,Haití,2021,19536,Millones de dólares
150,Costa Rica,2017,60516,Millones de dólares
151,Costa Rica,2018,62420,Millones de dólares
152,Cuba,2017,96851,Millones de dólares
153,Cuba,2018,100050,Millones de dólares
154,Cuba,2019,103428,Millones de dólares
155,Cuba,2020,107352,Millones de dólares
156,Dominica,2017,522,Millones de dólares
157,Dominica,2018,555,Millones de dólares
158,Dominica,2019,612,Millones de dólares
159,Dominica,2020,504,Millones de dólares
160,Dominica,2021,546,Millones de dólares
