name,year,period,value,unit
Saint Kitts y Nevis,2018,Anual,8,Porcentaje anual
San Vicente y las Granadinas,2018,Anual,8,Porcentaje anual
Santa LucÃ­a,2018,Anual,8,Porcentaje anual
Suriname,2018,Anual,14,Porcentaje anual
Uruguay,2018,Anual,14,Porcentaje anual
Antigua y Barbuda,2019,Anual,9,Porcentaje anual
Argentina,2019,Anual,67,Porcentaje anual
Bahamas,2019,Anual,11,Porcentaje anual
Barbados,2019,Anual,7,Porcentaje anual
Belice,2019,Anual,9,Porcentaje anual
Bolivia (Estado Plurinacional de),2019,Anual,6,Porcentaje anual
Brasil,2019,Anual,43,Porcentaje anual
Chile,2019,Anual,9,Porcentaje anual
Colombia,2019,Anual,12,Porcentaje anual
Costa Rica,2019,Anual,13,Porcentaje anual
Dominica,2019,Anual,8,Porcentaje anual
Ecuador,2019,Anual,9,Porcentaje anual
El Salvador,2019,Anual,7,Porcentaje anual
Granada,2019,Anual,7,Porcentaje anual
Guatemala,2019,Anual,13,Porcentaje anual
Guyana,2019,Anual,9,Porcentaje anual
HaitÃ­,2019,Anual,19,Porcentaje anual
Honduras,2019,Anual,17,Porcentaje anual
Jamaica,2019,Anual,13,Porcentaje anual
MÃ©xico,2019,Anual,30,Porcentaje anual
Nicaragua,2019,Anual,13,Porcentaje anual
PanamÃ¡,2019,Anual,7,Porcentaje anual
Paraguay,2019,Anual,13,Porcentaje anual
PerÃº,2019,Anual,14,Porcentaje anual
RepÃºblica Dominicana,2019,Anual,12,Porcentaje anual
Saint Kitts y Nevis,2019,Anual,8,Porcentaje anual
San Vicente y las Granadinas,2019,Anual,8,Porcentaje anual
Santa LucÃ­a,2019,Anual,8,Porcentaje anual
Suriname,2019,Anual,15,Porcentaje anual
Trinidad y Tabago,2019,Anual,9,Porcentaje anual
Uruguay,2019,Anual,13,Porcentaje anual
Venezuela (RepÃºblica Bolivariana de),2019,Anual,29,Porcentaje anual
Argentina,2020,Anual,37,Porcentaje anual
Bahamas,2020,Anual,10,Porcentaje anual
Barbados,2020,Anual,6,Porcentaje anual
Belice,2020,Anual,9,Porcentaje anual
Bolivia (Estado Plurinacional de),2020,Anual,6,Porcentaje anual
Brasil,2020,Anual,34,Porcentaje anual
Chile,2020,Anual,8,Porcentaje anual
Colombia,2020,Anual,10,Porcentaje anual
Costa Rica,2020,Anual,11,Porcentaje anual
Ecuador,2020,Anual,9,Porcentaje anual
Guatemala,2020,Anual,13,Porcentaje anual
Guyana,2020,Anual,9,Porcentaje anual
HaitÃ­,2020,Anual,16,Porcentaje anual
Honduras,2020,Anual,17,Porcentaje anual
Jamaica,2020,Anual,12,Porcentaje anual
MÃ©xico,2020,Anual,30,Porcentaje anual
Nicaragua,2020,Anual,11,Porcentaje anual
PanamÃ¡,2020,Anual,7,Porcentaje anual
Paraguay,2020,Anual,11,Porcentaje anual
PerÃº,2020,Anual,13,Porcentaje anual
RepÃºblica Dominicana,2020,Anual,11,Porcentaje anual
Suriname,2020,Anual,15,Porcentaje anual
Trinidad y Tabago,2020,Anual,8,Porcentaje anual
Uruguay,2020,Anual,13,Porcentaje anual
Venezuela (RepÃºblica Bolivariana de),2020,Anual,33,Porcentaje anual
